
                  mean       std    median      5.0%     95.0%     n_eff     r_hat
    beta[82]   1701.64   2179.00    880.29      2.33   4323.22    208.42      1.01
       beta0     16.06      4.68     15.98      8.90     23.42    408.13      1.00
  death_prob      0.02      0.01      0.02      0.01      0.04    288.83      1.01
  death_rate      0.09      0.02      0.09      0.07      0.13    760.06      1.00
    det_prob      0.16      0.05      0.16      0.09      0.23    306.46      1.01
  det_prob_d      0.89      0.04      0.89      0.83      0.94   1186.68      1.00
       gamma      0.12      0.03      0.12      0.08      0.16    746.12      1.00
       sigma      0.00      0.00      0.00      0.00      0.00    282.04      1.01

Number of divergences: 136
